id,fecha_ingreso,modelo,marca,color,tipo_de_cambio,precio
0001,21/07/2020,Clutch,Gucci,roja,EUR,2000
0002,22/06/2019,Totebag,Louis Vuitton,marrón,USD,4000
0003,9/12/2018,Clutch,Chanel,negra,EUR,3500
0004,4/08/2020,Cross Body,Prada,negra,USD,1500
0005,13/05/2020,Mochila,Fendi,azul,EUR,2300
0006,18/03/2021,Totebag,Hermés,marrón,USD,100000
0007,17/06/2022,Clutch,Louis Vuitton,naranja,USD,2000
0008,13/05/2021,Mochila,Gucci,verde,EUR,4600
0009,7/09/2021,Cross Body,Prada,rosa,USD,2100
0010,3/08/2021,Totebag,Chanel,rosa,USD,5800
0011,1/10/2021,Cross Body,Louis Vuitton,amarillo,USD,3600
0012,8/12/2021,Clutch,Hermés,beige,EUR,3000
0013,15/09/2021,Mochila,Prada,gris,USD,1100
0014,7/11/2021,Cross Body,Prada,plateado,EUR,1600
0015,17/04/2022,Clutch,Chanel,marrón,USD,3200
0016,4/04/2022,Totebag,Hermés,negro,USD,9000
0017,8/12/2021,Clutch,Hermés,beige,EUR,5000
0018,9/05/2021,Cross body,Gucci,beige,EUR,3400
0019,12/08/2021,Mochila,Chanel,blanco,EUR,2890
0020,9/03/2022,Totebag,Fendi,amarillo,USD,4500
